provinsi,kode_kabupaten_kota,nama_kabupaten_kota,penduduk_miskin,satuan
JAWA BARAT,3204,KABUPATEN BANDUNG,7.61,%
JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,11.71,%
JAWA BARAT,3216,KABUPATEN BEKASI,4.92,%
JAWA BARAT,3201,KABUPATEN BOGOR,8.83,%
JAWA BARAT,3207,KABUPATEN CIAMIS,8.42,%
JAWA BARAT,3203,KABUPATEN CIANJUR,11.62,%
JAWA BARAT,3209,KABUPATEN CIREBON,13.49,%
JAWA BARAT,3205,KABUPATEN GARUT,11.64,%
JAWA BARAT,3212,KABUPATEN INDRAMAYU,13.95,%
JAWA BARAT,3215,KABUPATEN KARAWANG,10.07,%
JAWA BARAT,3208,KABUPATEN KUNINGAN,13.59,%
JAWA BARAT,3210,KABUPATEN MAJALENGKA,12.85,%
JAWA BARAT,3218,KABUPATEN PANGANDARAN,10.23,%
JAWA BARAT,3214,KABUPATEN PURWAKARTA,8.98,%
JAWA BARAT,3213,KABUPATEN SUBANG,11.05,%
JAWA BARAT,3202,KABUPATEN SUKABUMI,8.13,%
JAWA BARAT,3211,KABUPATEN SUMEDANG,10.57,%
JAWA BARAT,3206,KABUPATEN TASIKMALAYA,11.24,%
JAWA BARAT,3273,KOTA BANDUNG,4.32,%
JAWA BARAT,3279,KOTA BANJAR,7.01,%
JAWA BARAT,3275,KOTA BEKASI,5.06,%
JAWA BARAT,3271,KOTA BOGOR,7.29,%
JAWA BARAT,3277,KOTA CIMAHI,5.92,%
JAWA BARAT,3274,KOTA CIREBON,9.73,%
JAWA BARAT,3276,KOTA DEPOK,2.34,%
JAWA BARAT,3272,KOTA SUKABUMI,8.59,%
JAWA BARAT,3278,KOTA TASIKMALAYA,15.6,%
