provinsi,kode_kabupaten_kota,nama_kabupaten_kota,rata_rata_lama_sekolah,satuan
JAWA BARAT,3204,KABUPATEN BANDUNG,8.51,TAHUN
JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,7.74,TAHUN
JAWA BARAT,3216,KABUPATEN BEKASI,8.82,TAHUN
JAWA BARAT,3201,KABUPATEN BOGOR,7.84,TAHUN
JAWA BARAT,3207,KABUPATEN CIAMIS,7.59,TAHUN
JAWA BARAT,3203,KABUPATEN CIANJUR,6.92,TAHUN
JAWA BARAT,3209,KABUPATEN CIREBON,6.61,TAHUN
JAWA BARAT,3205,KABUPATEN GARUT,7.28,TAHUN
JAWA BARAT,3212,KABUPATEN INDRAMAYU,5.97,TAHUN
JAWA BARAT,3215,KABUPATEN KARAWANG,7.34,TAHUN
JAWA BARAT,3208,KABUPATEN KUNINGAN,7.35,TAHUN
JAWA BARAT,3210,KABUPATEN MAJALENGKA,6.9,TAHUN
JAWA BARAT,3218,KABUPATEN PANGANDARAN,7.37,TAHUN
JAWA BARAT,3214,KABUPATEN PURWAKARTA,7.74,TAHUN
JAWA BARAT,3213,KABUPATEN SUBANG,6.83,TAHUN
JAWA BARAT,3202,KABUPATEN SUKABUMI,6.79,TAHUN
JAWA BARAT,3211,KABUPATEN SUMEDANG,7.98,TAHUN
JAWA BARAT,3206,KABUPATEN TASIKMALAYA,7.12,TAHUN
JAWA BARAT,3273,KOTA BANDUNG,10.59,TAHUN
JAWA BARAT,3279,KOTA BANJAR,8.59,TAHUN
JAWA BARAT,3275,KOTA BEKASI,10.93,TAHUN
JAWA BARAT,3271,KOTA BOGOR,10.29,TAHUN
JAWA BARAT,3277,KOTA CIMAHI,10.93,TAHUN
JAWA BARAT,3274,KOTA CIREBON,9.88,TAHUN
JAWA BARAT,3276,KOTA DEPOK,10.84,TAHUN
JAWA BARAT,3272,KOTA SUKABUMI,9.52,TAHUN
JAWA BARAT,3278,KOTA TASIKMALAYA,9.03,TAHUN
