provinsi,kode_kabupaten_kota,nama_kabupaten_kota,penduduk_miskin,satuan
JAWA BARAT,3204,KABUPATEN BANDUNG,5.94,%
JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,9.38,%
JAWA BARAT,3216,KABUPATEN BEKASI,4.01,%
JAWA BARAT,3201,KABUPATEN BOGOR,6.66,%
JAWA BARAT,3207,KABUPATEN CIAMIS,6.65,%
JAWA BARAT,3203,KABUPATEN CIANJUR,9.15,%
JAWA BARAT,3209,KABUPATEN CIREBON,9.94,%
JAWA BARAT,3205,KABUPATEN GARUT,8.98,%
JAWA BARAT,3212,KABUPATEN INDRAMAYU,11.11,%
JAWA BARAT,3215,KABUPATEN KARAWANG,7.39,%
JAWA BARAT,3208,KABUPATEN KUNINGAN,11.41,%
JAWA BARAT,3210,KABUPATEN MAJALENGKA,10.06,%
JAWA BARAT,3218,KABUPATEN PANGANDARAN,7.71,%
JAWA BARAT,3214,KABUPATEN PURWAKARTA,7.48,%
JAWA BARAT,3213,KABUPATEN SUBANG,8.12,%
JAWA BARAT,3202,KABUPATEN SUKABUMI,6.22,%
JAWA BARAT,3211,KABUPATEN SUMEDANG,9.05,%
JAWA BARAT,3206,KABUPATEN TASIKMALAYA,9.12,%
JAWA BARAT,3273,KOTA BANDUNG,3.38,%
JAWA BARAT,3279,KOTA BANJAR,5.5,%
JAWA BARAT,3275,KOTA BEKASI,3.81,%
JAWA BARAT,3271,KOTA BOGOR,5.77,%
JAWA BARAT,3277,KOTA CIMAHI,4.39,%
JAWA BARAT,3274,KOTA CIREBON,8.41,%
JAWA BARAT,3276,KOTA DEPOK,2.07,%
JAWA BARAT,3272,KOTA SUKABUMI,6.67,%
JAWA BARAT,3278,KOTA TASIKMALAYA,11.6,%
