provinsi,kode_kabupaten_kota,nama_kabupaten_kota,rata_rata_lama_sekolah,satuan
JAWA BARAT,3204,KABUPATEN BANDUNG,8.79,TAHUN
JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,8.18,TAHUN
JAWA BARAT,3216,KABUPATEN BEKASI,8.84,TAHUN
JAWA BARAT,3201,KABUPATEN BOGOR,8.29,TAHUN
JAWA BARAT,3207,KABUPATEN CIAMIS,7.69,TAHUN
JAWA BARAT,3203,KABUPATEN CIANJUR,6.97,TAHUN
JAWA BARAT,3209,KABUPATEN CIREBON,6.71,TAHUN
JAWA BARAT,3205,KABUPATEN GARUT,7.51,TAHUN
JAWA BARAT,3212,KABUPATEN INDRAMAYU,5.99,TAHUN
JAWA BARAT,3215,KABUPATEN KARAWANG,7.65,TAHUN
JAWA BARAT,3208,KABUPATEN KUNINGAN,7.38,TAHUN
JAWA BARAT,3210,KABUPATEN MAJALENGKA,7.09,TAHUN
JAWA BARAT,3218,KABUPATEN PANGANDARAN,7.67,TAHUN
JAWA BARAT,3214,KABUPATEN PURWAKARTA,7.92,TAHUN
JAWA BARAT,3213,KABUPATEN SUBANG,6.85,TAHUN
JAWA BARAT,3202,KABUPATEN SUKABUMI,7.02,TAHUN
JAWA BARAT,3211,KABUPATEN SUMEDANG,8.27,TAHUN
JAWA BARAT,3206,KABUPATEN TASIKMALAYA,7.17,TAHUN
JAWA BARAT,3273,KOTA BANDUNG,10.74,TAHUN
JAWA BARAT,3279,KOTA BANJAR,8.62,TAHUN
JAWA BARAT,3275,KOTA BEKASI,11.1,TAHUN
JAWA BARAT,3271,KOTA BOGOR,10.32,TAHUN
JAWA BARAT,3277,KOTA CIMAHI,10.95,TAHUN
JAWA BARAT,3274,KOTA CIREBON,9.9,TAHUN
JAWA BARAT,3276,KOTA DEPOK,11,TAHUN
JAWA BARAT,3272,KOTA SUKABUMI,9.58,TAHUN
JAWA BARAT,3278,KOTA TASIKMALAYA,9.13,TAHUN
