provinsi,kode_kabupaten_kota,nama_kabupaten_kota,rata_rata_lama_sekolah,satuan
JAWA BARAT,3204,KABUPATEN BANDUNG,8.58,TAHUN
JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,7.97,TAHUN
JAWA BARAT,3216,KABUPATEN BEKASI,8.84,TAHUN
JAWA BARAT,3201,KABUPATEN BOGOR,7.88,TAHUN
JAWA BARAT,3207,KABUPATEN CIAMIS,7.6,TAHUN
JAWA BARAT,3203,KABUPATEN CIANJUR,6.93,TAHUN
JAWA BARAT,3209,KABUPATEN CIREBON,6.62,TAHUN
JAWA BARAT,3205,KABUPATEN GARUT,7.5,TAHUN
JAWA BARAT,3212,KABUPATEN INDRAMAYU,5.98,TAHUN
JAWA BARAT,3215,KABUPATEN KARAWANG,7.35,TAHUN
JAWA BARAT,3208,KABUPATEN KUNINGAN,7.36,TAHUN
JAWA BARAT,3210,KABUPATEN MAJALENGKA,6.91,TAHUN
JAWA BARAT,3218,KABUPATEN PANGANDARAN,7.58,TAHUN
JAWA BARAT,3214,KABUPATEN PURWAKARTA,7.75,TAHUN
JAWA BARAT,3213,KABUPATEN SUBANG,6.84,TAHUN
JAWA BARAT,3202,KABUPATEN SUKABUMI,6.8,TAHUN
JAWA BARAT,3211,KABUPATEN SUMEDANG,8.17,TAHUN
JAWA BARAT,3206,KABUPATEN TASIKMALAYA,7.13,TAHUN
JAWA BARAT,3273,KOTA BANDUNG,10.63,TAHUN
JAWA BARAT,3279,KOTA BANJAR,8.6,TAHUN
JAWA BARAT,3275,KOTA BEKASI,11.09,TAHUN
JAWA BARAT,3271,KOTA BOGOR,10.3,TAHUN
JAWA BARAT,3277,KOTA CIMAHI,10.94,TAHUN
JAWA BARAT,3274,KOTA CIREBON,9.89,TAHUN
JAWA BARAT,3276,KOTA DEPOK,10.85,TAHUN
JAWA BARAT,3272,KOTA SUKABUMI,9.53,TAHUN
JAWA BARAT,3278,KOTA TASIKMALAYA,9.04,TAHUN
