provinsi,kode_kabupaten_kota,nama_kabupaten_kota,pengeluaran_per_kapita,satuan
JAWA BARAT,3204,KABUPATEN BANDUNG,9375.21,RIBU RUPIAH
JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,7522.14,RIBU RUPIAH
JAWA BARAT,3216,KABUPATEN BEKASI,10322.5,RIBU RUPIAH
JAWA BARAT,3201,KABUPATEN BOGOR,9368.39,RIBU RUPIAH
JAWA BARAT,3207,KABUPATEN CIAMIS,8295.76,RIBU RUPIAH
JAWA BARAT,3203,KABUPATEN CIANJUR,6876.62,RIBU RUPIAH
JAWA BARAT,3209,KABUPATEN CIREBON,9261.3,RIBU RUPIAH
JAWA BARAT,3205,KABUPATEN GARUT,6875.09,RIBU RUPIAH
JAWA BARAT,3212,KABUPATEN INDRAMAYU,8768.97,RIBU RUPIAH
JAWA BARAT,3215,KABUPATEN KARAWANG,10216.85,RIBU RUPIAH
JAWA BARAT,3208,KABUPATEN KUNINGAN,8516.1,RIBU RUPIAH
JAWA BARAT,3210,KABUPATEN MAJALENGKA,8477.14,RIBU RUPIAH
JAWA BARAT,3218,KABUPATEN PANGANDARAN,8265.02,RIBU RUPIAH
JAWA BARAT,3214,KABUPATEN PURWAKARTA,10549.58,RIBU RUPIAH
JAWA BARAT,3213,KABUPATEN SUBANG,9830.96,RIBU RUPIAH
JAWA BARAT,3202,KABUPATEN SUKABUMI,7848.53,RIBU RUPIAH
JAWA BARAT,3211,KABUPATEN SUMEDANG,9279.32,RIBU RUPIAH
JAWA BARAT,3206,KABUPATEN TASIKMALAYA,6934.28,RIBU RUPIAH
JAWA BARAT,3273,KOTA BANDUNG,15608.85,RIBU RUPIAH
JAWA BARAT,3279,KOTA BANJAR,9475.6,RIBU RUPIAH
JAWA BARAT,3275,KOTA BEKASI,15115.83,RIBU RUPIAH
JAWA BARAT,3271,KOTA BOGOR,10576.37,RIBU RUPIAH
JAWA BARAT,3277,KOTA CIMAHI,11011.88,RIBU RUPIAH
JAWA BARAT,3274,KOTA CIREBON,10732.45,RIBU RUPIAH
JAWA BARAT,3276,KOTA DEPOK,14424.49,RIBU RUPIAH
JAWA BARAT,3272,KOTA SUKABUMI,9729.44,RIBU RUPIAH
JAWA BARAT,3278,KOTA TASIKMALAYA,8784.81,RIBU RUPIAH
